STT,SHS,SBD,Họ và tên,GT,Ngày sinh,NV1,NV2,Tiếng Anh,Toán 1,Ngữ văn,Hóa học,Tin học,Vật lý,Sinh học,Toán 2,Kết luận,SĐT,Tin nhắn
1,4,1578,Nguyễn Văn 1,Nữ,08/05/2010,Chuyên sinh học,,9.75,3,8.75,,,,7.5,,,984640899,
2,9,1355,Nguyễn Văn 2,,16/06/2010,Chuyên tin học (thi Toán),,9.75,8,8.75,,,,,6.5,Chuyên Tin học (thi Toán),984640899,
3,17,2094,Nguyễn Văn 3,,14/04/2010,Chuyên toán học,,9.75,7.5,7,,,,,9,Chuyên Toán học,984640899,
4,21,2561,Nguyễn Văn 4,,10/02/2010,Chuyên vật lý,,9.5,2.5,8,,,0.25,,,,984640899,
5,25,2140,Nguyễn Văn 5,,05/09/2010,Chuyên hóa học,,9.75,6,7.75,3.5,,,,,,984640899,
6,30,1060,Nguyễn Văn 6,,17/11/2010,Chuyên tin học (thi Toán),,10,7.5,8,,,,,7.5,Chuyên Tin học (thi Toán),984640899,
7,32,2162,Nguyễn Văn 7,Nữ,24/01/2010,Chuyên toán học,,8.5,5.25,8.25,,,,,1.5,,984640899,
8,33,939,Nguyễn Văn 8,,01/03/2010,Chuyên tin học (thi Tin),,8.25,2,7.75,,3.75,,,,,984640899,
9,35,2250,Nguyễn Văn 9,Nữ,04/03/2010,Chuyên toán học,,7.5,6.5,6.5,,,,,1,,984640899,
10,38,1645,Nguyễn Văn 10,,07/03/2010,Chuyên toán học,,7.75,7,6,,,,,3.5,,984640899,
11,42,444,Nguyễn Văn 11,,27/09/2010,Chuyên hóa học,,9.25,1.5,7.25,2.75,,,,,,984640899,
12,50,897,Nguyễn Văn 12,,09/02/2010,Chuyên sinh học,Chuyên hóa học,9.25,2.5,7.5,0,,,1.75,,,984640899,
13,51,880,Nguyễn Văn 13,,19/05/2010,Chuyên toán học,,10,7.5,6,,,,,6,Chuyên Toán học,984640899,
14,52,2129,Nguyễn Văn 14,,19/08/2010,Chuyên tin học (thi Toán),,8,7.5,7.75,,,,,6.5,Chuyên Tin học (thi Toán),984640899,
15,54,98,Nguyễn Văn 15,,25/02/2010,Chuyên vật lý,,10,6,6,,,5.75,,,Chuyên Vật lý,984640899,
16,62,27,Nguyễn Văn 16,Nữ,24/12/2010,Chuyên vật lý,,9.75,1.5,8.75,,,1.25,,,,984640899,
17,77,1373,Nguyễn Văn 17,,16/11/2010,Chuyên tin học (thi Tin),,8.75,3,8,,1.25,,,,,984640899,
